stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
"4229","54254",צומת תל חי,רחוב: 90 עיר: הגליל העליון רציף:  קומה: ,"33.235147",35.580147,false,,"54254"
"4230","54255",עולי הגרדום/הרצל,רחוב: עולי הגרדום 13 עיר: קרית שמונה רציף:  קומה: ,"33.204243",35.566898,false,,"54255"
"4231","54256",הורדים/חבצלת ב,רחוב: הורדים 44 עיר: קרית שמונה רציף:  קומה: ,"33.212418",35.579918,false,,"54256"
"4233","54258",הלבנון/יעקב מלול,רחוב: הלבנון 5 עיר: קרית שמונה רציף:  קומה: ,"33.221175",35.572034,false,,"54258"
"4234","54259",הורדים/הכלנית,רחוב: הורדים 18 עיר: קרית שמונה רציף:  קומה: ,"33.217231",35.579527,false,,"54259"
"4235","54260",הורדים/החצב,רחוב: הורדים עיר: קרית שמונה רציף:  קומה: ,"33.214979",35.579749,false,,"54260"
"4339","54369",תל חי/הירדן,רחוב: תל חי 57 עיר: קרית שמונה רציף:  קומה: ,"33.212637",35.570614,false,,"54369"
"4340","54370",מכללת תל חי,רחוב:   עיר: תל חי רציף:  קומה: ,"33.234563",35.578349,false,,"54370"
"5564","57456",התעשייה/הנרייטה סאלד,רחוב: יהלום עיר: קרית שמונה רציף:  קומה: ,"33.197725",35.57642,false,,"57456"
"5576","57468",הר הצופים/יקוטיאל אדם,רחוב: הר הצופים 1 עיר: קרית שמונה רציף:  קומה: ,"33.223314",35.569909,false,,"57468"
"5580","57472",הנרייטה סאלד/קרן היסוד,רחוב: הנרייטה סולד 4 עיר: קרית שמונה רציף:  קומה: ,"33.199581",35.575858,false,,"57472"
"5600","57819",מועדון ויצו/עולי הגרדום,רחוב: עולי הגרדום 18 עיר: קרית שמונה רציף:  קומה: ,"33.203734",35.566515,false,,"57819"
"5602","57827",יעקוב מלול/הלבנון,רחוב: יעקב מלול 1 עיר: קרית שמונה רציף:  קומה: ,"33.220974",35.57139,false,,"57827"
"5603","57828",יהודה הלוי/רזיאל,רחוב: יהודה הלוי 20 עיר: קרית שמונה רציף:  קומה: ,"33.213850",35.567087,false,,"57828"
"5839","58246",שפריצק/הנשיא,רחוב: יוסף שפרינצק 5 עיר: קרית שמונה רציף:  קומה: ,"33.218157",35.577381,false,,"58246"
"5840","58247",שפרינצק ב,רחוב: יוסף שפרינצק 15 עיר: קרית שמונה רציף:  קומה: ,"33.216378",35.577631,false,,"58247"
"5841","58248",שפרינצק א,רחוב: יוסף שפרינצק 31 עיר: קרית שמונה רציף:  קומה: ,"33.213577",35.577444,false,,"58248"
"5842","58249",שפרינצק/הנרי מלכה,רחוב: יוסף שפרינצק 47 עיר: קרית שמונה רציף:  קומה: ,"33.211129",35.576985,false,,"58249"
"5915","58327",הורדים,רחוב: הורדים 96 עיר: קרית שמונה רציף:  קומה: ,"33.210137",35.579792,false,,"58327"
"5930","58342",הר כרמל/האצ''ל,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.224422",35.56964,false,,"58342"
"5986","58398",תל חי/שי עגנון,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.215143",35.570929,false,,"58398"
"5988","58400",הנשיא/רש''י,רחוב: הנשיא 32 עיר: קרית שמונה רציף:  קומה: ,"33.218302",35.576555,false,,"58400"
"5989","58401",שפרינצק/הנשיא,רחוב: יוסף שפרינצק 8 עיר: קרית שמונה רציף:  קומה: ,"33.217758",35.577374,false,,"58401"
"5990","58402",שפרינצק א,רחוב: יוסף שפרינצק 18 עיר: קרית שמונה רציף:  קומה: ,"33.215711",35.57737,false,,"58402"
"5991","58403",שפרינצק/הנרי מלכה,רחוב: יוסף שפרינצק 60 עיר: קרית שמונה רציף:  קומה: ,"33.210914",35.576791,false,,"58403"
"5992","58404",הנרייטה סאלד/עליית הנוער,רחוב: הנרייטה סולד עיר: קרית שמונה רציף:  קומה: ,"33.199688",35.573401,false,,"58404"
"5993","58405",הנרייטה סאלד/סלמנוביץ,רחוב: הנרייטה סולד 18 עיר: קרית שמונה רציף:  קומה: ,"33.200329",35.570878,false,,"58405"
"5994","58406",הלבנון/הרי נפתלי,רחוב: הלבנון 20 עיר: קרית שמונה רציף:  קומה: ,"33.219003",35.569949,false,,"58406"
"5995","58407",יהודה הלוי/סלינג'ר,רחוב: יהודה הלוי 32 עיר: קרית שמונה רציף:  קומה: ,"33.212885",35.567018,false,,"58407"
"6038","58450",יקותיאל אדם/יעקב מלול,רחוב: יקותיאל אדם 12 עיר: קרית שמונה רציף:  קומה: ,"33.220696",35.569473,false,,"58450"
"6058","58470",סיני/תל חי,רחוב: סיני 1 עיר: קרית שמונה רציף:  קומה: ,"33.205237",35.568857,false,,"58470"
"6117","58529",סלינגר/משטרה,רחוב: דוד סלינג'ר עיר: קרית שמונה רציף:  קומה: ,"33.212403",35.568209,false,,"58529"
"6118","58530",סלינג'ר/המכבים,רחוב: דוד סלינג'ר עיר: קרית שמונה רציף:  קומה: ,"33.212252",35.568314,false,,"58530"
"6850","59552",צומת צוק מנרה,רחוב: 90 עיר: הגליל העליון רציף:  קומה: ,"33.191933",35.567075,false,,"59552"
